longitude,latitude
-95.220587,29.767971
-80.046389,34.1625
-87.575278,37.858889
-121.362121,36.844096
-119.658611,37.5425
-122.237976,38.102507
-87.003611,33.331111
-72.63,41.552222
-120.84271,35.36631
-118.37026,33.92288
-86.222222,43.284167
-74.422403,40.472825
-67.59587,44.531907
-77.05922,38.8577
-81.331667,40.870278
-71.518611,43.091111
-117.075325,33.127711
-120.630278,34.596111
-119.016765,35.438869
-87.314173,37.937561
-92.260581,34.835721
-106.613815,35.19324
-93.371944,30.143333
-119.807717,39.525083
-101.428056,47.185833
-117.85036,34.14435
-81.619444,38.343889
-76.765278,39.405833
-85.703889,37.997778
-84.944795,32.521302
-91.213556,30.500643
-122.7721,45.768531
-83.2082,42.22862
-121.591944,38.716944
-121.574684,36.999571
-95.973889,36.198056
-94.933333,29.398611
-120.63215,35.12389
-81.458834,41.537344
-75.846389,41.265556
-87.199248,41.617558
-83.529167,41.648056
-95.284096,29.828086
-90.5683,43.70222
-72.065,41.317222
-76.128333,43.084167
-80.695,35.347222
-75.240822,40.049616
-73.41919,40.74529
